student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
S1000,0.8571428571428572,0,0.0,0.21428571428571427,0.23913043478260873,0,0.6296296296296298,0.7272727272727271,1.0,6,2.0,1.0,7,1,0.40650406504065045
S1001,0.4285714285714284,0,0.92,0.5,0.5,0,0.9333333333333331,0.212121212121212,2.0,6,0.0,1.0,7,0,1.0
S1002,0.5714285714285716,1,0.18666666666666665,0.5535714285714286,0.28260869565217395,0,0.8716049382716049,0.7272727272727271,0.0,1,0.0,0.0,0,0,0.1097560975609756
S1003,0.8571428571428572,0,0.13333333333333333,0.6964285714285714,0.2173913043478261,0,0.28395061728395055,0.9090909090909087,0.0,4,2.0,2.0,0,1,0.008130081300813052
S1004,0.2857142857142856,0,0.6666666666666666,0.7857142857142858,0.10869565217391305,0,0.7753086419753088,0.2575757575757575,1.0,3,2.0,2.0,0,0,0.5447154471544717
S1005,1.0,1,0.96,0.23214285714285715,0.0,0,0.577777777777778,0.6363636363636362,1.0,1,2.0,1.0,3,0,1.0
S1006,0.5714285714285716,0,0.7466666666666666,0.26785714285714285,0.30434782608695654,1,0.6493827160493826,0.49999999999999983,2.0,2,2.0,0.0,3,0,0.8617886178861789
S1007,0.5714285714285716,0,0.5733333333333333,0.17857142857142858,0.4347826086956522,1,0.44938271604938285,0.212121212121212,1.0,0,1.0,1.0,7,0,0.6287262872628727
S1008,0.8571428571428572,0,0.5866666666666667,0.3928571428571429,0.3695652173913044,0,1.0,0.5909090909090906,2.0,3,1.0,2.0,0,0,0.7140921409214094
S1009,0.1428571428571428,0,0.64,0.5535714285714286,0.28260869565217395,0,0.88641975308642,0.6515151515151514,2.0,5,1.0,2.0,9,1,1.0
S1010,0.2857142857142856,0,0.6133333333333333,0.6607142857142858,0.1739130434782609,0,0.4469135802469135,0.39393939393939387,1.0,1,0.0,2.0,2,0,0.5027100271002711
S1011,0.8571428571428572,1,0.52,0.42857142857142855,0.5434782608695653,0,0.3012345679012347,0.7121212121212119,1.0,2,1.0,1.0,0,0,0.6531165311653118
S1012,0.2857142857142856,0,0.49333333333333335,0.375,0.08695652173913045,1,0.5333333333333332,0.19696969696969685,1.0,1,1.0,2.0,8,0,0.6869918699186992
S1013,0.2857142857142856,0,0.4533333333333333,0.4821428571428572,0.5869565217391305,0,0.7358024691358023,0.22727272727272724,1.0,4,1.0,2.0,9,0,0.6720867208672086
S1014,1.0,1,0.32,0.26785714285714285,0.15217391304347827,0,0.6888888888888891,0.53030303030303,0.0,6,1.0,1.0,8,0,0.7140921409214094
S1015,0.5714285714285716,1,0.41333333333333333,0.8928571428571429,0.2173913043478261,0,0.9382716049382718,0.49999999999999983,2.0,6,0.0,1.0,6,0,0.6476964769647697
S1016,0.4285714285714284,1,0.13333333333333333,0.10714285714285714,0.04347826086956522,0,0.8246913580246913,0.3636363636363635,0.0,3,0.0,0.0,7,1,0.3929539295392955
S1017,1.0,0,0.4533333333333333,0.4821428571428572,0.2608695652173913,0,0.869135802469136,0.6515151515151514,0.0,0,0.0,1.0,0,1,0.6043360433604337
S1019,0.2857142857142856,1,0.24,0.44642857142857145,0.5217391304347826,0,0.28641975308641965,0.6515151515151514,1.0,1,0.0,1.0,1,0,0.2588075880758807
S1020,0.7142857142857144,0,0.5066666666666666,0.4107142857142857,0.6304347826086957,0,0.5802469135802468,0.4848484848484848,2.0,3,2.0,2.0,0,0,0.437669376693767
S1021,0.5714285714285716,1,0.7466666666666666,0.375,0.5217391304347826,0,0.8913580246913577,0.606060606060606,1.0,1,0.0,2.0,2,0,0.7628726287262872
S1023,1.0,0,0.14666666666666667,0.7321428571428571,0.30434782608695654,1,0.7530864197530867,0.8787878787878785,1.0,6,1.0,2.0,0,0,0.2371273712737128
S1024,0.4285714285714284,0,0.26666666666666666,0.0,0.19565217391304351,1,0.5506172839506172,0.34848484848484845,1.0,4,1.0,1.0,1,0,0.3888888888888889
S1025,0.7142857142857144,1,0.6533333333333333,0.7678571428571428,0.7173913043478262,0,0.37530864197530867,0.8787878787878785,1.0,1,0.0,1.0,1,1,0.5921409214092141
S1026,0.7142857142857144,1,0.26666666666666666,0.14285714285714288,0.10869565217391305,0,0.6000000000000001,0.49999999999999983,2.0,4,1.0,0.0,3,0,0.6409214092140922
